"amount";"duration";"payments";"no. of commited crimes '95";"name ";"region";"no. of inhabitants";"no. of municipalities with inhabitants < 499 ";"no. of municipalities with inhabitants 500-1999";"no. of municipalities with inhabitants 2000-9999 ";"no. of municipalities with inhabitants >10000 ";"no. of cities ";"ratio of urban inhabitants ";"average salary ";"no. of enterpreneurs per 1000 inhabitants ";"no. of commited crimes '96";"unemploymant rate '95";"unemploymant rate '96";"balance MAX";"balance MIN";"balance AVG";"balance STD";"balance VAR";"operation = credit in cash AVG";"operation = credit in cash STD";"operation = credit in cash SUM";"operation = credit in cash VAR";"operation = withdrawal in cash AVG";"operation = withdrawal in cash STD";"operation = withdrawal in cash SUM";"operation = withdrawal in cash VAR";"operation = remittance to another bank AVG";"operation = remittance to another bank STD";"operation = remittance to another bank SUM";"operation = remittance to another bank VAR";"operation = collection from another bank AVG";"operation = collection from another bank STD";"operation = collection from another bank SUM";"operation = collection from another bank VAR";"operation = credit card withdrawal AVG";"operation = credit card withdrawal STD";"operation = credit card withdrawal SUM";"operation = credit card withdrawal VAR";"operation = Null AVG";"operation = Null STD";"operation = Null SUM";"operation = Null VAR";"credit MAX";"credit MIN";"credit AVG";"credit STD";"credit CNT";"credit SUM";"credit VAR";"withdraw MAX";"withdraw MIN";"withdraw AVG";"withdraw STD";"withdraw CNT";"withdraw SUM";"withdraw VAR";"withdraw_total";"credit_total";"final Balance";"credit_month";"withdrawal_month";"household";"Account duration";"Gender";"crime_increase";"unemployment_increase";"age";"n_owners";"status";"loan_id";"credit_withdrawal_ratio";"credit_avg_salary_ratio";"profit_month";"profit_payments_ratio";"balace_max_credit";"balace_max_withdraw";"transactions_month";"A";"B";"C";"balance_min_credit";"balance_min_withdraw";"type credit MEAN";"type withdraw MEAN";"transactions_total";"confidence(true)";"confidence(false)";"prediction(status)"
93960;60;1566;2080;"Jicin";"east Bohemia";77917;85;19;6;1;5;53.5;8390;132;2122;2.28;2.89;88246.7;800.0;54520.202247190966;13768.555213742016;1.8957311267386246E8;0.1797752808988764;0.386175824087028;16;0.1491317671092952;0.449438202247191;0.5002552974381312;40;0.25025536261491316;0.21348314606741572;0.4120875379300647;19;0.16981613891726252;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.15730337078651685;0.36614938594707186;14;0.13406537282941777;36637.5;82.2;12769.220000000003;14018.915135271025;30;383076.6000000001;1.96529981569931E8;30000.0;14.6;5653.016949152542;6378.603782721509;59;333528.0;4.068658621694914E7;333528.0;383076.6000000001;49548.60000000009;23942.287500000002;20845.5;5528.0;14;"F";1.0201923076923076;1.2675438596491229;34;1;;5895;1.1485590415197526;2.8536695470798574;3096.787500000002;1.9775143678160934;51609.2;58246.7;6.357142857142857;11173.0675;15192.483050847459;0.016666666666666666;717.8;785.4;0.33707865168539325;0.6629213483146067;89;0.025831396390023964;0.974168603609976;"false"
260640;36;7240;1089;"Domazlice";"west Bohemia";58400;65;16;4;1;6;52.4;8620;100;1117;1.1;1.25;88731.8;-718.6;31518.18205128206;20629.92586109991;4.255938410344789E8;0.1794871794871795;0.38624363966821407;14;0.14918414918414918;0.3333333333333333;0.4744557145911778;26;0.22510822510822515;0.2948717948717949;0.45893649955381693;23;0.21062271062271062;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.19230769230769232;0.3966644140109588;15;0.15734265734265734;41871.0;15.5;9526.772413793104;14395.797543576402;29;276276.4;2.0723898691564035E8;30000.0;4.6;5402.2612244897955;6867.32611528486;49;264710.8;4.716016797367344E7;264710.80000000005;276276.4;11565.599999999977;16251.552941176473;15571.223529411767;4325.0;16;"M";1.0257116620752984;1.1363636363636362;47;1;;7122;1.0436914549765253;1.8853309676538832;680.3294117647056;0.09396815079623005;46860.8;58731.8;4.875;6724.780527383369;10168.962304921972;0.027777777777777776;-734.1;-723.2;0.3717948717948718;0.6282051282051282;78;0.9342787561775372;0.06572124382246278;"true"
232560;48;4845;6604;"Ceske Budejovice";"south Bohemia";177686;69;27;10;1;9;74.8;10045;135;6295;1.42;1.71;79286.6;200.0;40175.61250000004;15672.003046986476;2.456116795047534E8;0.017045454545454544;0.12981005103862084;3;0.01685064935064935;0.4090909090909091;0.4930688421679909;72;0.24311688311688312;0.3465909090909091;0.4772418048115025;61;0.22775974025974027;0.11363636363636363;0.3182745690417337;20;0.10129870129870129;0.0;0.0;0;0.0;0.11363636363636363;0.3182745690417337;20;0.10129870129870129;43605.0;45.7;15302.486046511629;16313.366966803947;43;658006.9;2.6612594179361024E8;29100.0;100.0;4603.4060150375935;6141.604106466779;133;612253.0;3.7719301000569604E7;612253.0;658006.9;45753.90000000002;29909.404545454545;27829.68181818182;2692.0;21;"M";0.9532101756511205;1.204225352112676;57;1;;6173;1.0747303810679572;2.977541517715734;2079.722727272725;0.42925133689839523;35681.600000000006;50186.600000000006;8.380952380952381;14606.918498942916;23226.275803144228;0.020833333333333332;154.3;100.0;0.24431818181818182;0.7556818181818182;176;0.02742120044619012;0.9725787995538099;"false"
221880;60;3698;2987;"Nymburk";"central Bohemia";81344;61;23;4;2;6;55.3;8899;149;2487;3.39;3.97;74216.8;1000.0;44440.912676056294;13853.751836544276;1.919264399485539E8;0.028169014084507043;0.16663312875171465;2;0.027766599597585515;0.36619718309859156;0.4851932345458813;26;0.23541247484909458;0.3380281690140845;0.47640504890664465;24;0.22696177062374245;0.14084507042253522;0.35033757793172343;10;0.1227364185110664;0.0;0.0;0;0.0;0.1267605633802817;0.33507259191271765;9;0.11227364185110664;33280.0;54.2;11797.642857142857;12714.278533112742;21;247750.5;1.6165287861757147E8;21200.0;2.0;4176.740000000001;5570.455131846801;50;208837.00000000003;3.1029970375918362E7;208837.00000000003;247750.5;38913.49999999997;22522.772727272728;18985.18181818182;323.0;10;"M";0.8326079678607299;1.1710914454277286;52;2;;6142;1.1863343181524346;2.53093299553576;3537.590909090908;0.956622744481046;40936.8;53016.8;7.1;10725.129870129871;14808.441818181818;0.03333333333333333;945.8;998.0;0.29577464788732394;0.704225352112676;71;0.024613715586085938;0.9753862844139141;"false"
38520;12;3210;1658;"Havlickuv Brod";"east Bohemia";95907;87;25;5;2;7;59.1;8388;87;1668;2.41;2.94;31302.0;900.0;20231.313157894707;4462.709852015695;1.9915779223277945E7;0.2894736842105263;0.4555204008434052;33;0.20749883558453655;0.40350877192982454;0.49276712347260915;46;0.24281943797546962;0.14035087719298245;0.3488842641593123;16;0.12172022977798479;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.16666666666666666;0.37432338171732604;19;0.140117994100295;8800.0;19.8;2736.0269230769236;2601.9410634548017;52;142273.40000000002;6770097.297692304;5400.0;14.6;2069.0161290322585;1429.3084271994824;62;128279.00000000003;2042922.5800634578;128279.00000000003;142273.40000000002;13994.399999999994;7113.670000000001;6413.950000000003;3115.0;19;"F";1.006031363088058;1.2199170124481327;56;1;;5358;1.109093460348147;0.8480770147830234;699.7199999999984;0.21798130841121446;22502.0;25902.0;6.0;4377.643076923077;4344.933870967744;0.08333333333333333;880.2;885.4;0.45614035087719296;0.543859649122807;114;0.1352451107947148;0.8647548892052852;"false"
68340;60;1139;5244;"Kladno";"central Bohemia";149893;63;29;6;2;6;67.4;9753;109;5892;4.64;5.05;71564.8;500.0;41735.420175438565;11063.628902172659;1.2240388448499021E8;0.18421052631578946;0.3893672987547151;21;0.15160689333954355;0.5175438596491229;0.5018982751417672;59;0.251901878590281;0.13157894736842105;0.33952486047460223;15;0.1152771308802981;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.16666666666666666;0.37432338171732604;19;0.140117994100295;36463.5;62.7;13463.015;13889.57584286291;40;538520.6;1.9292031709464094E8;33600.0;14.6;6653.567567567566;7246.921756111879;74;492363.9999999999;5.251787493920769E7;492363.9999999999;538520.6;46156.60000000009;25643.83809523809;23445.904761904756;9191.0;20;"F";1.1235697940503433;1.0883620689655173;43;1;;6095;1.0937448716803015;2.6293282164706335;2197.9333333333343;1.9297044190810662;35101.3;37964.8;5.7;12180.82309523809;16792.33719433719;0.016666666666666666;437.3;485.4;0.3508771929824561;0.6491228070175439;114;0.025701251231416422;0.9742987487685836;"false"
23184;12;1932;3729;"Hodonin";"south Moravia";161954;21;37;20;3;8;48.0;8720;116;3651;3.73;4.5;48344.0;200.0;36729.801724137906;9960.410273053165;9.920977280754304E7;0.25862068965517243;0.44170105106485397;15;0.19509981851179672;0.43103448275862066;0.49954607344251345;25;0.24954627949183303;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.3103448275862069;0.46667530888203757;18;0.2177858439201452;11748.0;37.2;3018.0060606060606;4124.385693571483;33;99594.2;1.7010557349337123E7;9500.0;14.6;2283.72;2459.1550025703273;25;57092.99999999999;6047443.326666665;57092.99999999999;99594.2;42501.200000000004;9054.01818181818;5190.272727272727;0.0;10;"M";0.9790828640386162;1.2064343163538873;16;1;;6878;1.7444205068922634;1.0383048373644703;3863.745454545454;1.9998682476943344;36596.0;38844.0;5.8;6036.01212121212;2906.552727272727;0.08333333333333333;162.8;185.4;0.5689655172413793;0.43103448275862066;58;0.02644669962109092;0.9735533003789091;"false"
390096;48;8127;2854;"Nachod";"east Bohemia";112709;48;20;7;3;10;73.5;8369;117;2618;1.79;2.31;77467.0;900.0;44346.15625;20389.130044150774;4.1571662395729166E8;0.375;0.5;6;0.25;0.375;0.5;6;0.25;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.25;0.4472135954999579;4;0.2;36178.0;43.5;13407.8;14294.336077621792;10;134078.0;2.0432804389999998E8;26100.0;900.0;14966.666666666666;9916.988790286427;6;89800.0;9.834666666666666E7;89800.0;134078.0;44278.0;22346.333333333332;14966.666666666666;0.0;5;"F";0.9173090399439383;1.2905027932960893;18;2;;6554;1.4930734966592427;2.6701318357430197;7379.666666666666;0.9080431483532257;41289.0;51367.0;3.2;8938.533333333333;0.0;0.041666666666666664;856.5;0.0;0.625;0.375;16;0.2149245102670082;0.7850754897329918;"false"
186300;60;3105;1562;"Vyskov";"south Moravia";86513;38;36;5;1;5;50.5;8288;110;1460;3.79;4.52;170682.8;200.0;62765.86554621852;34244.48654819328;1.1726848589493904E9;0.2605042016806723;0.4407656065273815;31;0.1942743198974505;0.3949579831932773;0.49090865930328514;47;0.24099131177894886;0.15126050420168066;0.35981764360186846;18;0.12946873664720124;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.19327731092436976;0.39653821762872393;23;0.1572425580401652;48653.0;5.9;14436.055555555553;16290.556856457028;54;779546.9999999999;2.6538224269345906E8;63700.0;30.0;11588.969230769231;14732.62920672303;65;753283.0;2.1705036334278846E8;753283.0;779546.9999999999;26263.999999999884;59965.15384615384;57944.846153846156;1749.0;13;"F";0.9346991037131882;1.1926121372031662;49;1;;6793;1.0348660463597346;7.235177828927828;2020.3076923076806;0.6506627028366121;122029.79999999999;106982.79999999999;9.153846153846153;45529.09829059828;46355.876923076925;0.016666666666666666;194.1;170.0;0.453781512605042;0.5462184873949579;119;0.041299377975935525;0.9587006220240645;"false"
67320;36;1870;2616;"Kolin";"central Bohemia";95616;65;30;4;1;6;51.4;9307;118;3040;3.85;4.43;43949.4;200.0;26491.780180180227;7217.69610312427;5.209513703705528E7;0.06306306306306306;0.24417874523238017;7;0.05962325962325962;0.3333333333333333;0.4735424207422438;37;0.22424242424242422;0.32432432432432434;0.47024485231655766;36;0.22113022113022113;0.14414414414414414;0.3528287466861572;16;0.12448812448812449;0.0;0.0;0;0.0;0.13513513513513514;0.34341828421928544;15;0.11793611793611793;16833.0;33.3;5736.168421052632;6039.934969182101;38;217974.40000000002;3.648081443194879E7;11500.0;14.6;2715.2958904109596;2602.3414066544815;73;198216.60000000003;6772180.796788426;198216.60000000003;217974.40000000002;19757.79999999999;12822.023529411767;11659.800000000003;5808.0;16;"F";1.162079510703364;1.1506493506493505;25;1;;7286;1.0996778271850085;1.377675247599846;1162.2235294117636;0.6215099087763442;27116.4;32449.4;6.9375;7085.855108359135;8944.504109589043;0.027777777777777776;166.7;185.4;0.34234234234234234;0.6576576576576577;111;0.040923864186571235;0.9590761358134288;"false"
