"loan_id";"account_id";"date";"amount";"duration";"payments";"status";"district_id";"frequency";"client_id";"type";"birth_number";"no. of commited crimes '95 ";"name ";"region";"no. of inhabitants";"no. of municipalities with inhabitants < 499 ";"no. of municipalities with inhabitants 500-1999";"no. of municipalities with inhabitants 2000-9999 ";"no. of municipalities with inhabitants >10000 ";"no. of cities ";"ratio of urban inhabitants ";"average salary ";"no. of enterpreneurs per 1000 inhabitants ";"no. of commited crimes '96";"unemploymant rate '95 ";"unemploymant rate '96 ";"credit_month";"withdrawal_month";"household";"first_date";"Account duration";"Gender"
5314;1787;930705;96396;12;8033;-1;30;"weekly issuance";2166;"OWNER";475722;2985;"Sokolov";"west Bohemia";94812;15;13;8;2;10;81.8;9650;100;2804;3.38;3.67;5025.0;0.0;0.0;930322;5;"F"
5316;1801;930711;165960;36;4610;1;46;"monthly issuance";2181;"OWNER";680722;2854;"Nachod";"east Bohemia";112709;48;20;7;3;10;73.5;8369;117;2618;1.79;2.31;38315.61666666666;29614.133333333335;4167.0;930213;6;"M"
6863;9188;930728;127080;60;2118;1;45;"monthly issuance";11314;"OWNER";360602;2080;"Jicin";"east Bohemia";77917;85;19;6;1;5;53.5;8390;132;2122;2.28;2.89;12524.333333333334;9145.5;7936.0;930208;6;"M"
5325;1843;930803;105804;36;2939;1;12;"monthly issuance";2235;"OWNER";405420;3804;"Pribram";"central Bohemia";107870;84;29;6;1;6;58.0;8754;137;3868;3.83;4.31;17187.114285714284;12288.171428571428;6994.0;930130;8;"F"
7240;11013;930906;274740;60;4579;1;1;"weekly issuance";13539;"OWNER";780907;85677;"Hl.m. Praha";"Prague";1204953;0;0;0;1;1;100.0;12541;167;99107;0.29;0.43;39475.299999999996;33602.0;756.0;930214;8;"M"
6687;8261;930913;87840;24;3660;1;13;"monthly issuance";10200;"OWNER";805216;1597;"Rakovnik";"central Bohemia";53921;61;22;1;1;2;41.3;8598;123;1875;2.77;3.26;20529.56;11760.0;0.0;930512;5;"F"
6687;8261;930913;87840;24;3660;1;13;"monthly issuance";10201;"DISPONENT";851019;1597;"Rakovnik";"central Bohemia";53921;61;22;1;1;2;41.3;8598;123;1875;2.77;3.26;20529.56;11760.0;0.0;930512;5;"M"
7284;11265;930915;52788;12;4399;1;15;"monthly issuance";13845;"OWNER";730216;1845;"Cesky Krumlov";"south Bohemia";58796;22;16;7;1;5;51.9;9045;124;1879;3.13;3.6;10042.755555555554;7706.199999999999;506.0;930114;9;"M"
6111;5428;930924;174744;24;7281;-1;24;"monthly issuance";6551;"OWNER";485812;5198;"Karlovy Vary";"west Bohemia";122603;25;21;6;2;8;80.0;8991;128;5273;1.39;2.01;35666.26666666667;25976.133333333335;4100.0;930414;6;"F"
7235;10973;931013;154416;48;3217;1;18;"weekly issuance";13490;"OWNER";695525;1740;"Pisek";"south Bohemia";70699;60;13;2;1;4;65.3;8968;131;1910;2.83;3.35;26077.685714285715;18448.714285714286;0.0;930420;7;"F"
